agency_id,agency_name,agency_url,agency_timezone
1,STCP - Sociedade de Transportes Colectivos do Porto,http://www.stcp.pt/,Europe/Lisbon
2,Metro do Porto,https://www.metrodoporto.pt/,Europe/Lisbon
